video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled
"RctzhW20V7Y","당기기만 하면 끝! 일발필중(一發必中) 유도총탄","2020-09-13T02:35:33Z","UC1Ei9xWth3jnYypj161vBJA","건들건들","27","20.15.09","#건들건들|#우라웍스|#환장|#펜더|#조지킹|#썰PD|#밀리터리|#워키피디아|쿼드콥터|ISIS|논산훈련소|PRI|유도탄|기밀|특수부대|홈쇼핑|저격|자동조준","67668","2404","46","263","https://i.ytimg.com/vi/RctzhW20V7Y/default.jpg","False","False"
"DNqfifnOnDg","[#하이라이트#] 수능만점자 프린스 홍★ 민준홍의 자만추(?) 연애스토리 공개! UN프로그램에서 만났다..? #유퀴즈온더블럭 | YOU QUIZ ON THE BLOCK EP.71","2020-09-10T09:47:43Z","UC920m3pMPH45qztdhppZhwA","유 퀴즈 온 더 튜브","24","20.15.09","tvN|유퀴즈온더블럭|유퀴즈|유재석|조세호|문과|이과|임두원|서지음|김성민|최현민|민준홍|김지명|백희나|과학자|작사가|물리올림피아드|수능만점자|구름빵|아스트리드린드그렌상|그림책|부먹|찍먹|문과감성|엑소|으르렁|EXO|이별|조명|f(x)|에프엑스|일렉트릭쇼크|4당5락|프린스홍|연애|자만추|백혈병|의사|2021수능|수험생|아동계의노벨상","444928","5523","94","629","https://i.ytimg.com/vi/DNqfifnOnDg/default.jpg","False","False"
"JTeYrBM38TQ","1년 반만에 드디어 밝혀진 엔드게임 속 비밀들","2020-09-11T08:22:20Z","UC_Aly3X5CdojHdRDGmKi1ow","엔스Ens","1","20.15.09","마블|엔드게임|어벤져스|아이언맨|스파이더맨","268586","2706","89","391","https://i.ytimg.com/vi/JTeYrBM38TQ/default.jpg","False","False"
"Y3aeZ0On7zQ","온라인 수업에 음란물 틀어 놓고 안녕…여중 '발칵' / SBS","2020-09-11T12:07:49Z","UCkinYTS9IHqOEwR1Sze2JTw","SBS 뉴스","25","20.15.09","SBS|SBS NEWS|SBS 뉴스|에스비에스|에스비에스 뉴스|서울 방송|SEOUL BROADCASTING SYSTEM|KOREA NEWS|Korean News|대한민국 뉴스|News Network|수업|교사|온라인|안녕|음란물|발칵","2230381","15658","402","8800","https://i.ytimg.com/vi/Y3aeZ0On7zQ/default.jpg","False","False"
"S-28fWV2lX4","홍영기, 29쨜 현실 모먼트 😹 1회 비하인드 |Allzzang|얼짱시대요즘뭐해","2020-09-14T09:00:09Z","UCYmo0HyIbPtyu5QnFZ7-V5Q","얼짱TV","24","20.15.09","얼짱시대|얼짱TV|얼짱|얼짱시대요즘뭐해|요즘뭐해|홍영기|박지호|문야엘|강혁민|추억|싸이월드|미니홈피|투데이|도토리|인플루언서|유튜버|인스타그램|트위치|훈남BJ|트렌드세터|컴싸아라|훈녀생정|인소|웹소설|얼짱각도|훈남|훈녀|퍼가요","27090","263","5","20","https://i.ytimg.com/vi/S-28fWV2lX4/default.jpg","False","False"
"ASYZm8MnBpY","[사랑과 전쟁] 남편이 평생 못 잊던 그 여자가 사부인이란다","2020-09-15T02:00:00Z","UC0EpedkBG2k7kd8UGJuYShQ","Kemi TV","24","20.15.09","케미tv|케미티비|kemitv|막장드라마|사랑과전쟁|사랑과 전쟁|사랑전쟁|사랑과전쟁 시즌1|사랑과 전쟁 시즌1|시즌1|막장|kbs|복수|바람|커플|불륜|남친|여친|아내|남편|부부|부부클리닉|사랑|애증|유머|웃긴 싸움|시어머니|시집살이|시누이|미친|고부|친정|임신|이혼|사이다|고구마|빡침|정의구현|정의실현|정의|빡침주의|내로남불|현실|꿀잼|존잼|허니잼|대유잼|극대노|대노|사랑과전쟁레전드|kemitv사랑과전쟁|loveandwar|loveandwar2|본격실화|루씨|루시|제비|꽃뱀|전여친|구여친|전남친|구남친|고부갈등|고부관계|첫 사랑 사돈마님|사부인|첫사랑|사랑과 전쟁 346|첫사랑 사돈마님","112048","1523","58","263","https://i.ytimg.com/vi/ASYZm8MnBpY/default.jpg","False","False"
"QfpzduQRqeA","[ENG] 메킷레인 멤버들이 보는 블루(BLOO)는 어떤 사람일까?","2020-09-11T09:00:06Z","UCjRS-SUfmPHelbp2cARJ0bQ","메킷원 MKIT WON","24","20.15.09","나플라|nafla|루피|loopy|loopy&nafla|나플라루피|오왼|owenovadoz|wu|나플라wu|메킷레인|메킷원|창업|장사|bloo|블루|쇼미더머니|쇼미더머니9|쇼미|쇼미9|김현웅|앞담화|몰래카메라|몰카","137554","4237","23","441","https://i.ytimg.com/vi/QfpzduQRqeA/default.jpg","False","False"
"8TsF4iw-p3g","[BRUSH] SCP-053 VS SCP-682 애니메이션","2020-09-11T09:00:03Z","UCRqcPtAY2IrOjjOPt2TbYVQ","BRUSH","20","20.15.09","SCP|SCP GCL|하다 SCP|유령시티 SCP|펄렁붓 scp|brush scp|SCP 소녀|SCP 053|scp 682|brush scp 682|053|682","597925","10281","285","840","https://i.ytimg.com/vi/8TsF4iw-p3g/default.jpg","False","False"
"WMlk2EGz8uM","[100분토론] 원희룡 VS 이재명 그 승부는?","2020-09-11T14:02:52Z","UCD46H9Pm3nLqCj7vv3pQkPA","MBC 100분토론","25","20.15.09","100분토론|백분토론|이재명|원희룡|보편지원|선별지원|재난지원금|지원금|경기도|제주도|지원|재난|기본소득|경제","466009","6792","269","4945","https://i.ytimg.com/vi/WMlk2EGz8uM/default.jpg","False","False"
"tvmgCOhN2bE","[100분토론] - 코로나19 경제위기와 기본소득(884회)","2020-09-10T16:10:15Z","UCD46H9Pm3nLqCj7vv3pQkPA","MBC 100분토론","25","20.15.09","이재명|제레미 리프킨|원희룡|경기도|제주도|기본소득|경제위기|재난지원금|코로나|지원금|경제|백분토론|100분토론","194605","4771","170","3472","https://i.ytimg.com/vi/tvmgCOhN2bE/default.jpg","False","False"
